         20514661 function calls (20358712 primitive calls) in 4.648 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1195(_open)
        1    0.000    0.000    0.000    0.000 __init__.py:1204(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        6    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:127(MultiHostHost)
        1    0.000    0.000    0.000    0.000 __init__.py:1285(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       30    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       48    0.000    0.000    0.003    0.000 __init__.py:1347(_add_data_doc)
       29    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
       94    0.000    0.000    0.006    0.000 __init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(BSON)
        1    0.000    0.000    0.000    0.000 __init__.py:14(SubplotBase)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1403(_clear_cache)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       30    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1448(setLevel)
        7    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
